Index,Word
0,c
1,а
2,алло
3,без
4,белый
5,близко
6,более
7,больше
8,большой
9,будем
10,будет
11,будете
12,будешь
13,будто
14,буду
15,будут
16,будь
17,бы
18,бывает
19,бывь
20,был
21,была
22,были
23,было
24,быть
25,в
26,важная
27,важное
28,важные
29,важный
30,вам
31,вами
32,вас
33,ваш
34,ваша
35,ваше
36,ваши
37,вверх
38,вдали
39,вдруг
40,ведь
41,везде
42,вернуться
43,весь
44,вечер
45,взгляд
46,взять
47,вид
48,видел
49,видеть
50,вместе
51,вне
52,вниз
53,внизу
54,во
55,вода
56,война
57,вокруг
58,вон
59,вообще
60,вопрос
61,восемнадцатый
62,восемнадцать
63,восемь
64,восьмой
65,вот
66,впрочем
67,времени
68,время
69,все
70,все еще
71,всегда
72,всего
73,всем
74,всеми
75,всему
76,всех
77,всею
78,всю
79,всюду
80,вся
81,всё
82,второй
83,вы
84,выйти
85,г
86,где
87,главный
88,глаз
89,говорил
90,говорит
91,говорить
92,год
93,года
94,году
95,голова
96,голос
97,город
98,да
99,давать
100,давно
101,даже
102,далекий
103,далеко
104,дальше
105,даром
106,дать
107,два
108,двадцатый
109,двадцать
110,две
111,двенадцатый
112,двенадцать
113,дверь
114,двух
115,девятнадцатый
116,девятнадцать
117,девятый
118,девять
119,действительно
120,дел
121,делал
122,делать
123,делаю
124,дело
125,день
126,деньги
127,десятый
128,десять
129,для
130,до
131,довольно
132,долго
133,должен
134,должно
135,должный
136,дом
137,дорога
138,друг
139,другая
140,другие
141,других
142,друго
143,другое
144,другой
145,думать
146,душа
147,е
148,его
149,ее
150,ей
151,ему
152,если
153,есть
154,еще
155,ещё
156,ею
157,её
158,ж
159,ждать
160,же
161,жена
162,женщина
163,жизнь
164,жить
165,за
166,занят
167,занята
168,занято
169,заняты
170,затем
171,зато
172,зачем
173,здесь
174,земля
175,знать
176,значит
177,значить
178,и
179,иди
180,идти
181,из
182,или
183,им
184,имеет
185,имел
186,именно
187,иметь
188,ими
189,имя
190,иногда
191,их
192,к
193,каждая
194,каждое
195,каждые
196,каждый
197,кажется
198,казаться
199,как
200,какая
201,какой
202,кем
203,книга
204,когда
205,кого
206,ком
207,комната
208,кому
209,конец
210,конечно
211,которая
212,которого
213,которой
214,которые
215,который
216,которых
217,кроме
218,кругом
219,кто
220,куда
221,лежать
222,лет
223,ли
224,лицо
225,лишь
226,лучше
227,любить
228,люди
229,м
230,маленький
231,мало
232,мать
233,машина
234,между
235,меля
236,менее
237,меньше
238,меня
239,место
240,миллионов
241,мимо
242,минута
243,мир
244,мира
245,мне
246,много
247,многочисленная
248,многочисленное
249,многочисленные
250,многочисленный
251,мной
252,мною
253,мог
254,могу
255,могут
256,мож
257,может
258,может быть
259,можно
260,можхо
261,мои
262,мой
263,мор
264,москва
265,мочь
266,моя
267,моё
268,мы
269,на
270,наверху
271,над
272,надо
273,назад
274,наиболее
275,найти
276,наконец
277,нам
278,нами
279,народ
280,нас
281,начала
282,начать
283,наш
284,наша
285,наше
286,наши
287,не
288,него
289,недавно
290,недалеко
291,нее
292,ней
293,некоторый
294,нельзя
295,нем
296,немного
297,нему
298,непрерывно
299,нередко
300,несколько
301,нет
302,нею
303,неё
304,ни
305,нибудь
306,ниже
307,низко
308,никакой
309,никогда
310,никто
311,никуда
312,ним
313,ними
314,них
315,ничего
316,ничто
317,но
318,новый
319,нога
320,ночь
321,ну
322,нужно
323,нужный
324,нх
325,о
326,об
327,оба
328,обычно
329,один
330,одиннадцатый
331,одиннадцать
332,однажды
333,однако
334,одного
335,одной
336,оказаться
337,окно
338,около
339,он
340,она
341,они
342,оно
343,опять
344,особенно
345,остаться
346,от
347,ответить
348,отец
349,откуда
350,отовсюду
351,отсюда
352,очень
353,первый
354,перед
355,писать
356,плечо
357,по
358,под
359,подойди
360,подумать
361,пожалуйста
362,позже
363,пойти
364,пока
365,пол
366,получить
367,помнить
368,понимать
369,понять
370,пор
371,пора
372,после
373,последний
374,посмотреть
375,посреди
376,потом
377,потому
378,почему
379,почти
380,правда
381,прекрасно
382,при
383,про
384,просто
385,против
386,процентов
387,путь
388,пятнадцатый
389,пятнадцать
390,пятый
391,пять
392,работа
393,работать
394,раз
395,разве
396,рано
397,раньше
398,ребенок
399,решить
400,россия
401,рука
402,русский
403,ряд
404,рядом
405,с
406,с кем
407,сам
408,сама
409,сами
410,самим
411,самими
412,самих
413,само
414,самого
415,самой
416,самом
417,самому
418,саму
419,самый
420,свет
421,свое
422,своего
423,своей
424,свои
425,своих
426,свой
427,свою
428,сделать
429,сеаой
430,себе
431,себя
432,сегодня
433,седьмой
434,сейчас
435,семнадцатый
436,семнадцать
437,семь
438,сидеть
439,сила
440,сих
441,сказал
442,сказала
443,сказать
444,сколько
445,слишком
446,слово
447,случай
448,смотреть
449,сначала
450,снова
451,со
452,собой
453,собою
454,советский
455,совсем
456,спасибо
457,спросить
458,сразу
459,стал
460,старый
461,стать
462,стол
463,сторона
464,стоять
465,страна
466,суть
467,считать
468,т
469,та
470,так
471,такая
472,также
473,таки
474,такие
475,такое
476,такой
477,там
478,твои
479,твой
480,твоя
481,твоё
482,те
483,тебе
484,тебя
485,тем
486,теми
487,теперь
488,тех
489,то
490,тобой
491,тобою
492,товарищ
493,тогда
494,того
495,тоже
496,только
497,том
498,тому
499,тот
500,тою
501,третий
502,три
503,тринадцатый
504,тринадцать
505,ту
506,туда
507,тут
508,ты
509,тысяч
510,у
511,увидеть
512,уж
513,уже
514,улица
515,уметь
516,утро
517,хороший
518,хорошо
519,хотел бы
520,хотеть
521,хоть
522,хотя
523,хочешь
524,час
525,часто
526,часть
527,чаще
528,чего
529,человек
530,чем
531,чему
532,через
533,четвертый
534,четыре
535,четырнадцатый
536,четырнадцать
537,что
538,чтоб
539,чтобы
540,чуть
541,шестнадцатый
542,шестнадцать
543,шестой
544,шесть
545,эта
546,эти
547,этим
548,этими
549,этих
550,это
551,этого
552,этой
553,этом
554,этому
555,этот
556,эту
557,я
558,являюсь
559,а
560,е
561,и
562,ж
563,м
564,о
565,на
566,не
567,ни
568,об
569,но
570,он
571,мне
572,мои
573,мож
574,она
575,они
576,оно
577,мной
578,много
579,многочисленное
580,многочисленная
581,многочисленные
582,многочисленный
583,мною
584,мой
585,мог
586,могут
587,можно
588,может
589,можхо
590,мор
591,моя
592,моё
593,мочь
594,над
595,нее
596,оба
597,нам
598,нем
599,нами
600,ними
601,мимо
602,немного
603,одной
604,одного
605,менее
606,однажды
607,однако
608,меня
609,нему
610,меньше
611,ней
612,наверху
