comment,date_time,color,size,thumb_up,thumb_down,prod_eval,prod,brand,cleaned_comment,lemma_comment
"Миксер суууперр!! 4 белка и 120 гр сахара взбились в большую пену. Лёгок в использовании,  не шумит как мясорубка. Цвет не синий и не фиолетовый, а тёмный цвет морской волны. Спасибо. Одна из лучших покупок на ВБ. Покупала за 5890 р.",2021-05-06T05:46:16Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,суууперр белка сахара взбились большую пену лёгок использовании шумит мясорубка цвет синий фиолетовый тёмный цвет морской волны спасибо одна лучших покупок вб покупала,суууперра белка сахар взбиваться большой пена легкий использование шуметь мясорубка цвет синий фиолетовый темный цвет морской волна покупка покупать
"Пришел, укомплектованный в одну коробку, все целое, все в комплекте. В пункте выдачи проверили, заполнили гарантийный талон. Очень стильный! Теперь лишь бы работал исправно. Сразу опробовали в деле. Все отлично!",2021-05-05T12:01:46Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,пришел укомплектованный одну коробку целое комплекте пункте выдачи проверили заполнили гарантийный талон стильный лишь работал исправно сразу опробовали деле отлично,приходить укомплектовывать коробка целый комплект пункт выдача проверять заполнять гарантийный талон стильный лишь работать исправно сразу опробовать дело отлично
"Быстрая доставка. Все целое, комплектация полная- три насадки и лопатка силиконовая. В пункте выдачи проверили- работает, шумит не сильно. Там же гарантийный талон заполнили. Товаром довольна! Цвет очень красивый сине-фиолетовый.",2021-05-05T11:41:39Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,быстрая доставка целое комплектация полная насадки лопатка силиконовая пункте выдачи проверили работает шумит сильно гарантийный талон заполнили товаром довольна цвет красивый сине фиолетовый,быстрый доставка целый комплектация полный насадка лопатка силиконовый пункт выдача проверять работать шуметь сильно гарантийный талон заполнять товар довольный цвет красивый синий фиолетовый
"Пришёл, целый, в деле не попробовала, мощный и оч. Большой. На деле опробую дополню отзыв",2021-05-05T09:58:48Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,пришёл целый деле попробовала мощный оч большой деле опробую дополню,приходить целый дело попробовать мощный большой дело опробовать дополнять
"Товар пришёл в двух коробках,все целое, каждая деталь в кулёчке. Присоски очень крепкие. Тесто на пельмени замесил за пару минут. Я очень рада этой покупке.",2021-05-05T07:09:56Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,товар пришёл двух коробках все целое каждая деталь кулёчке присоски крепкие тесто пельмени замесил пару минут рада покупке,товар приходить коробка целое каждый деталь кулечек присосок крепкий тесто пельмень замешивать пара минута рад покупка
"Миксер в полной комплектации, 3 насадки, большая чаша с крышкой, лопатка. Проверила, работает отлично. Спасибо!!! Кстати, цвет -синий - изумруд. Очень красиво!",2021-05-04T18:02:56Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,полной комплектации насадки большая чаша крышкой лопатка проверила работает отлично спасибо кстати цвет синий изумруд красиво,полный комплектация насадка больший чаша крышка лопатка проверять работать отлично кстати цвет синий изумруд красиво
"Миксер хороший, упакован в двух коробках, быстрая доставка,комплектация полная, в пункте выдачи поставили печать гарантии. Цена супер, скидка отличная. Меренгу взбила быстро, без проблем, шум умеренный. Чаша большая с ручкой, что очень удобно. Рекомендую.",2021-05-04T08:05:10Z,фиолетовый,0,4,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,хороший упакован двух коробках быстрая доставка комплектация полная пункте выдачи поставили печать гарантии цена супер скидка отличная меренгу взбила быстро проблем шум умеренный чаша большая ручкой удобно рекомендую,упаковывать коробка быстрый доставка комплектация полный пункт выдача поставлять печать гарантия цена скидка меренга взбивать быстро проблема шум умеренный чаша большой ручка удобно рекомендовать
Супер! Очень быстро!,2021-05-04T06:06:22Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,супер быстро,быстро
"Пришёл! На пункте выдачи проверили, все работает! Дома попробовала уже его. Добротный, хороший! Главное, что бы теперь служил долго и не ломался !!! ",2021-05-04T06:02:37Z,фиолетовый,0,4,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,пришёл пункте выдачи проверили работает дома попробовала его добротный хороший главное служил долго ломался,приходить пункт выдача проверять работать дома попробовать добротный главное служить долго ломаться
Пришел целый в двух коробках ни царапинки,2021-05-04T05:56:42Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,пришел целый двух коробках царапинки,приходить целый коробка царапинка
"Очень красивый и пришёл в идеальном состоянии в полной комплектации, но не взяли потому что было указано, что нельзя вернуть! Если вдруг какая-то проблема в нем будет(",2021-05-04T04:31:20Z,фиолетовый,0,1,3,5,Миксер планетарный SPM7167 1600Вт,StarWind,красивый пришёл идеальном состоянии полной комплектации взяли указано вернуть какая то проблема нем будет,красивый приходить идеальный состояние полный комплектация взять указывать вернуть проблема немой
Очень крутой миксер! Очень доволен,2021-05-04T04:27:09Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,крутой миксер доволен,крутой довольный
Выкупила с хорошей скидкой. В пункте выдачи в гарантийном талоне поставили печать. Пока всё устраивает.,2021-05-03T21:06:28Z,фиолетовый,0,3,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,выкупила хорошей скидкой пункте выдачи гарантийном талоне поставили печать пока всё устраивает,выкупать скидка пункт выдача гарантийный талон поставлять печать пока устраивать
"Отличный миксер, в первый же день испекла рулет👍🏻",2021-05-03T20:57:47Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,миксер первый день испекла рулет,первый день испечь рулет
"Протестировать всего один раз. На Пасху с куличами справился на ""отлично"".Теста вышло 1300 г. Вымешивает хорошо, без усилий. Не шумный, присоски к столу крепят так, что не оторвать. Пока нравится очень, посмотрим как прослужит.",2021-05-03T14:24:49Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,"протестировать раз пасху куличами справился ""отлично"" теста вышло вымешивает хорошо усилий шумный присоски столу крепят так оторвать пока нравится очень посмотрим прослужит","протестировать пасха кулич справляться ""отлично"" тест выходить вымешивать усилие шумный присосок стол крепить отрывать пока нравиться посмотреть прослужить"
Гарантия покажет!,2021-05-03T10:25:16Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,гарантия покажет,гарантия показывать
